144.9602242 -37.81467981 --> Census year: 2018 || Block ID: 53 || Property ID: 108072 || Base property ID: 108072 || CLUE small area: Melbourne (CBD) || Trading name: Indaus Immigration || Industry (ANZSIC4) code: 9539 || Industry (ANZSIC4) description: Other Personal Services n.e.c. || x coordinate: 144.9602242 || y coordinate: -37.81467981 || Location: (-37.81467981, 144.9602242) || 
144.9602242 -37.81467981 --> Census year: 2018 || Block ID: 53 || Property ID: 108072 || Base property ID: 108072 || CLUE small area: Melbourne (CBD) || Trading name: Atlas Recycling Pty Ltd || Industry (ANZSIC4) code: 2911 || Industry (ANZSIC4) description: Solid Waste Collection Services || x coordinate: 144.9602242 || y coordinate: -37.81467981 || Location: (-37.81467981, 144.9602242) || 
144.9602242 -37.81467981 --> Census year: 2018 || Block ID: 53 || Property ID: 108072 || Base property ID: 108072 || CLUE small area: Melbourne (CBD) || Trading name: North West Searching || Industry (ANZSIC4) code: 6931 || Industry (ANZSIC4) description: Legal Services || x coordinate: 144.9602242 || y coordinate: -37.81467981 || Location: (-37.81467981, 144.9602242) || 
144.9602242 -37.81467981 --> Census year: 2018 || Block ID: 53 || Property ID: 108072 || Base property ID: 108072 || CLUE small area: Melbourne (CBD) || Trading name: Rogers Legal Service Pty Ltd || Industry (ANZSIC4) code: 6931 || Industry (ANZSIC4) description: Legal Services || x coordinate: 144.9602242 || y coordinate: -37.81467981 || Location: (-37.81467981, 144.9602242) || 
144.9602242 -37.81467981 --> Census year: 2018 || Block ID: 53 || Property ID: 108072 || Base property ID: 108072 || CLUE small area: Melbourne (CBD) || Trading name: Sandridge || Industry (ANZSIC4) code: 6419 || Industry (ANZSIC4) description: Other Auxiliary Finance and Investment Services || x coordinate: 144.9602242 || y coordinate: -37.81467981 || Location: (-37.81467981, 144.9602242) || 
144.9602242 -37.81467981 --> Census year: 2018 || Block ID: 53 || Property ID: 108072 || Base property ID: 108072 || CLUE small area: Melbourne (CBD) || Trading name: Sage Accounting || Industry (ANZSIC4) code: 6962 || Industry (ANZSIC4) description: Management Advice and Other Consulting Services || x coordinate: 144.9602242 || y coordinate: -37.81467981 || Location: (-37.81467981, 144.9602242) || 
144.9602242 -37.81467981 --> Census year: 2018 || Block ID: 53 || Property ID: 108072 || Base property ID: 108072 || CLUE small area: Melbourne (CBD) || Trading name: Miller Hannaker & Middleton || Industry (ANZSIC4) code: 6932 || Industry (ANZSIC4) description: Accounting Services || x coordinate: 144.9602242 || y coordinate: -37.81467981 || Location: (-37.81467981, 144.9602242) || 
144.9602242 -37.81467981 --> Census year: 2018 || Block ID: 53 || Property ID: 108072 || Base property ID: 108072 || CLUE small area: Melbourne (CBD) || Trading name: Inner City Legal Services Pty Ltd || Industry (ANZSIC4) code: 6931 || Industry (ANZSIC4) description: Legal Services || x coordinate: 144.9602242 || y coordinate: -37.81467981 || Location: (-37.81467981, 144.9602242) || 
144.9602242 -37.81467981 --> Census year: 2018 || Block ID: 53 || Property ID: 108072 || Base property ID: 108072 || CLUE small area: Melbourne (CBD) || Trading name: Pineapple Technology || Industry (ANZSIC4) code: 7000 || Industry (ANZSIC4) description: Computer System Design and Related Services || x coordinate: 144.9602242 || y coordinate: -37.81467981 || Location: (-37.81467981, 144.9602242) || 
144.9602242 -37.81467981 --> Census year: 2018 || Block ID: 53 || Property ID: 108072 || Base property ID: 108072 || CLUE small area: Melbourne (CBD) || Trading name: Royston Capital || Industry (ANZSIC4) code: 6419 || Industry (ANZSIC4) description: Other Auxiliary Finance and Investment Services || x coordinate: 144.9602242 || y coordinate: -37.81467981 || Location: (-37.81467981, 144.9602242) || 
144.9602242 -37.81467981 --> Census year: 2018 || Block ID: 53 || Property ID: 108072 || Base property ID: 108072 || CLUE small area: Melbourne (CBD) || Trading name: Equity Legal Australia || Industry (ANZSIC4) code: 6931 || Industry (ANZSIC4) description: Legal Services || x coordinate: 144.9602242 || y coordinate: -37.81467981 || Location: (-37.81467981, 144.9602242) || 
144.9602242 -37.81467981 --> Census year: 2018 || Block ID: 53 || Property ID: 108072 || Base property ID: 108072 || CLUE small area: Melbourne (CBD) || Trading name: Lian Lui Solicitors || Industry (ANZSIC4) code: 6931 || Industry (ANZSIC4) description: Legal Services || x coordinate: 144.9602242 || y coordinate: -37.81467981 || Location: (-37.81467981, 144.9602242) || 
144.9602242 -37.81467981 --> Census year: 2018 || Block ID: 53 || Property ID: 108072 || Base property ID: 108072 || CLUE small area: Melbourne (CBD) || Trading name: Vacant || Industry (ANZSIC4) code: 0 || Industry (ANZSIC4) description: Vacant Space || x coordinate: 144.9602242 || y coordinate: -37.81467981 || Location: (-37.81467981, 144.9602242) || 
144.9602242 -37.81467981 --> Census year: 2018 || Block ID: 53 || Property ID: 108072 || Base property ID: 108072 || CLUE small area: Melbourne (CBD) || Trading name: Prestige Legal Services Pty Ltd || Industry (ANZSIC4) code: 6931 || Industry (ANZSIC4) description: Legal Services || x coordinate: 144.9602242 || y coordinate: -37.81467981 || Location: (-37.81467981, 144.9602242) || 
144.9602242 -37.81467981 --> Census year: 2018 || Block ID: 53 || Property ID: 108072 || Base property ID: 108072 || CLUE small area: Melbourne (CBD) || Trading name: Alessi Legal || Industry (ANZSIC4) code: 6931 || Industry (ANZSIC4) description: Legal Services || x coordinate: 144.9602242 || y coordinate: -37.81467981 || Location: (-37.81467981, 144.9602242) || 
144.9602242 -37.81467981 --> Census year: 2018 || Block ID: 53 || Property ID: 108072 || Base property ID: 108072 || CLUE small area: Melbourne (CBD) || Trading name: A A Appointments Australia || Industry (ANZSIC4) code: 7211 || Industry (ANZSIC4) description: Employment Placement and Recruitment Services || x coordinate: 144.9602242 || y coordinate: -37.81467981 || Location: (-37.81467981, 144.9602242) || 
144.9602242 -37.81467981 --> Census year: 2018 || Block ID: 53 || Property ID: 108072 || Base property ID: 108072 || CLUE small area: Melbourne (CBD) || Trading name: Collan Investment Limited || Industry (ANZSIC4) code: 6240 || Industry (ANZSIC4) description: Financial Asset Investing || x coordinate: 144.9602242 || y coordinate: -37.81467981 || Location: (-37.81467981, 144.9602242) || 
144.9602242 -37.81467981 --> Census year: 2018 || Block ID: 53 || Property ID: 108072 || Base property ID: 108072 || CLUE small area: Melbourne (CBD) || Trading name: Cash & Stavroulakis Lawyers || Industry (ANZSIC4) code: 6931 || Industry (ANZSIC4) description: Legal Services || x coordinate: 144.9602242 || y coordinate: -37.81467981 || Location: (-37.81467981, 144.9602242) || 
144.9602242 -37.81467981 --> Census year: 2018 || Block ID: 53 || Property ID: 108072 || Base property ID: 108072 || CLUE small area: Melbourne (CBD) || Trading name: Symbiosis International Group || Industry (ANZSIC4) code: 9539 || Industry (ANZSIC4) description: Other Personal Services n.e.c. || x coordinate: 144.9602242 || y coordinate: -37.81467981 || Location: (-37.81467981, 144.9602242) || 
144.9602242 -37.81467981 --> Census year: 2018 || Block ID: 53 || Property ID: 108072 || Base property ID: 108072 || CLUE small area: Melbourne (CBD) || Trading name: Ambrose Rajadurai & Associates || Industry (ANZSIC4) code: 6931 || Industry (ANZSIC4) description: Legal Services || x coordinate: 144.9602242 || y coordinate: -37.81467981 || Location: (-37.81467981, 144.9602242) || 
144.9602242 -37.81467981 --> Census year: 2018 || Block ID: 53 || Property ID: 108072 || Base property ID: 108072 || CLUE small area: Melbourne (CBD) || Trading name: Terry TH Lillis Barrister & Solicitor || Industry (ANZSIC4) code: 6931 || Industry (ANZSIC4) description: Legal Services || x coordinate: 144.9602242 || y coordinate: -37.81467981 || Location: (-37.81467981, 144.9602242) || 
144.9602242 -37.81467981 --> Census year: 2018 || Block ID: 53 || Property ID: 108072 || Base property ID: 108072 || CLUE small area: Melbourne (CBD) || Trading name: Vacant || Industry (ANZSIC4) code: 0 || Industry (ANZSIC4) description: Vacant Space || x coordinate: 144.9602242 || y coordinate: -37.81467981 || Location: (-37.81467981, 144.9602242) || 
144.9602242 -37.81467981 --> Census year: 2018 || Block ID: 53 || Property ID: 108072 || Base property ID: 108072 || CLUE small area: Melbourne (CBD) || Trading name: Lord Commercial Lawyers || Industry (ANZSIC4) code: 6931 || Industry (ANZSIC4) description: Legal Services || x coordinate: 144.9602242 || y coordinate: -37.81467981 || Location: (-37.81467981, 144.9602242) || 
144.9602242 -37.81467981 --> Census year: 2018 || Block ID: 53 || Property ID: 108072 || Base property ID: 108072 || CLUE small area: Melbourne (CBD) || Trading name: Ezyvisa Immigration Services || Industry (ANZSIC4) code: 9539 || Industry (ANZSIC4) description: Other Personal Services n.e.c. || x coordinate: 144.9602242 || y coordinate: -37.81467981 || Location: (-37.81467981, 144.9602242) || 
144.9602242 -37.81467981 --> Census year: 2018 || Block ID: 53 || Property ID: 108072 || Base property ID: 108072 || CLUE small area: Melbourne (CBD) || Trading name: True Elite Investments Pty Ltd || Industry (ANZSIC4) code: 6932 || Industry (ANZSIC4) description: Accounting Services || x coordinate: 144.9602242 || y coordinate: -37.81467981 || Location: (-37.81467981, 144.9602242) || 
144.9602242 -37.81467981 --> Census year: 2018 || Block ID: 53 || Property ID: 108072 || Base property ID: 108072 || CLUE small area: Melbourne (CBD) || Trading name: Storm International Group Pty Ltd || Industry (ANZSIC4) code: 9539 || Industry (ANZSIC4) description: Other Personal Services n.e.c. || x coordinate: 144.9602242 || y coordinate: -37.81467981 || Location: (-37.81467981, 144.9602242) || 
144.9602242 -37.81467981 --> Census year: 2018 || Block ID: 53 || Property ID: 108072 || Base property ID: 108072 || CLUE small area: Melbourne (CBD) || Trading name: Plum Solicitors || Industry (ANZSIC4) code: 6931 || Industry (ANZSIC4) description: Legal Services || x coordinate: 144.9602242 || y coordinate: -37.81467981 || Location: (-37.81467981, 144.9602242) || 
